author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Владис;https://www.cian.ru/sale/flat/288104605/;Москва;sale;flat;11;18;1;25.0;6100000;;;Коммунарка;
ID 86297073;https://www.cian.ru/sale/flat/279096412/;Москва;sale;flat;4;14;-1;24.2;6100000;Марфино;Ботаническая;Окружная;
ПИК;https://www.cian.ru/sale/flat/270784052/;Москва;sale;flat;11;11;1;23.6;6180525;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
Этажи Москва;https://www.cian.ru/sale/flat/283356525/;Москва;sale;flat;1;17;1;14.7;6150000;Братеево;Борисовские Пруды;Борисово;
ПИК;https://www.cian.ru/sale/flat/276511273/;Москва;sale;flat;13;17;1;21.8;6236299;;;Улица Горчакова;
ПИК;https://www.cian.ru/sale/flat/276334341/;Москва;sale;flat;13;25;1;21.7;6205097;Люблино;;Депо;Люблинский парк ЖК
ID 13750211;https://www.cian.ru/sale/flat/283595533/;Москва;sale;flat;4;6;1;30.0;6200000;;;;
ПИК;https://www.cian.ru/sale/flat/270787985/;Москва;sale;flat;11;17;1;19.7;6333644;;;Бунинская аллея;
ПИК;https://www.cian.ru/sale/flat/271078172/;Москва;sale;flat;17;17;1;19.7;6302357;;;Бунинская аллея;
ID 438358;https://www.cian.ru/sale/flat/288223184/;Москва;sale;flat;4;10;-1;19.5;6300000;Останкинский;Шереметьевская;Бутырская;
ПИК;https://www.cian.ru/sale/flat/275094489/;Москва;sale;flat;17;33;1;23.6;6376505;Люблино;к13.1;Перерва;Люблинский парк ЖК
ПИК;https://www.cian.ru/sale/flat/275241124/;Москва;sale;flat;17;20;1;20.1;6377730;Западное Дегунино;Северный ао;Лианозово;Бусиновский Парк ЖК
ПИК;https://www.cian.ru/sale/flat/274209151/;Москва;sale;flat;11;33;1;23.8;6367823;Очаково-Матвеевское;к1.2;Давыдково;Новое Очаково ЖК
Владис;https://www.cian.ru/sale/flat/272951407/;Москва;sale;flat;5;5;-1;38.1;6490000;Южнопортовый;Петра Романова;Кожуховская;
REALTY PRО;https://www.cian.ru/sale/flat/288051838/;Москва;sale;flat;5;5;1;9.7;6490000;Пресненский;Электрический переулок;Белорусская;
ПИК;https://www.cian.ru/sale/flat/270788104/;Москва;sale;flat;13;17;1;21.5;6457789;;;Бунинская аллея;
Этажи Москва;https://www.cian.ru/sale/flat/284112374/;Москва;sale;flat;2;5;-1;22.8;6450000;Останкинский;Шереметьевская;Марьина роща;
Октябрьская;https://www.cian.ru/sale/flat/287777299/;Москва;sale;flat;2;25;1;21.5;6499000;Люблино;к13-14;Братиславская;Люблинский парк ЖК
ID 68085047;https://www.cian.ru/sale/flat/287899325/;Москва;sale;flat;9;10;-1;14.2;6490000;Проспект Вернадского;проспект Вернадского;Проспект Вернадского;
МИЦ-Столичный ипотечный центр недвижимости;https://www.cian.ru/sale/flat/286000213/;Москва;sale;flat;8;15;-1;19.3;6500000;;;Рассказовка;
Качанова и партнеры;https://www.cian.ru/sale/flat/285679477/;Москва;sale;flat;11;22;1;23.2;6500000;;;Саларьево;
ПИК;https://www.cian.ru/sale/flat/274850400/;Москва;sale;flat;17;17;1;23.6;6528681;;;Улица Горчакова;
