author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/275282175/;Москва;sale;flat;6;8;5;235;130000000;Арбат;Большой Афанасьевский переулок;Арбатская;
Delight  Realty;https://www.cian.ru/sale/flat/282790729/;Москва;sale;flat;27;47;5;218.2;130000000;Раменки;Мосфильмовская;Ломоносовский проспект;Воробьевы Горы
Delight  Realty;https://www.cian.ru/sale/flat/285093289/;Москва;sale;flat;2;7;5;167;130000000;Басманный;Чистопрудный бульвар;Чистые пруды;
Проперти фо пипл;https://www.cian.ru/sale/flat/284615616/;Москва;sale;flat;3;5;5;201;130000000;Арбат;переулок Плотников;Смоленская;
Point Estate Город;https://www.cian.ru/sale/flat/287038628/;Москва;sale;flat;6;8;5;235.4;130000000;Арбат;Большой Афанасьевский переулок;Арбатская;
Monumental Group;https://www.cian.ru/sale/flat/284534380/;Москва;sale;flat;6;7;5;252;130000000;Арбат;Большой Афанасьевский переулок;Арбатская;
Penny Lane Realty Жилая недвижимость;https://www.cian.ru/sale/flat/284726479/;Москва;sale;flat;5;8;5;200;130000000;Тверской;Весковский переулок;Новослободская;
Contact Real Estate;https://www.cian.ru/sale/flat/280005664/;Москва;sale;flat;19;41;5;160;130000000;Хорошевский;Ленинградский проспект;Аэропорт;Прайм Парк
МИЭЛЬ Офис Пречистенка;https://www.cian.ru/sale/flat/287663407/;Москва;sale;flat;12;21;5;171.4;132000000;Пресненский;Большой Тишинский переулок;Баррикадная;
CapitalEstate;https://www.cian.ru/sale/flat/288309826/;Москва;sale;flat;22;65;5;151;134390000;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
Trust Realty;https://www.cian.ru/sale/flat/283517494/;Москва;sale;flat;18;18;5;270;135000000;Якиманка;Шаболовка;Октябрьская;Созвездие Капитал-2
Etagi Prime;https://www.cian.ru/sale/flat/288411390/;Москва;sale;flat;7;9;5;261.7;135000000;Очаково-Матвеевское;Староволынская;;Волынский
НДВ;https://www.cian.ru/sale/flat/283511382/;Москва;sale;flat;13;14;5;216.7;136500000;Тверской;Чаянова;Новослободская;
Елена Седьмова;https://www.cian.ru/sale/flat/286413365/;Москва;sale;flat;8;17;5;222.2;139000000;Раменки;Мосфильмовская;Ломоносовский проспект;Воробьевы Горы
Vesco Realty;https://www.cian.ru/sale/flat/278927171/;Москва;sale;flat;24;24;5;206;139000000;Можайский;Можайское шоссе;Кунцевская;
Kalinka Group;https://www.cian.ru/sale/flat/271491317/;Москва;sale;flat;24;24;5;205;139000000;Можайский;Можайское шоссе;Рабочий посёлок;
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/238781466/;Москва;sale;flat;44;48;5;228;140000000;Хорошево-Мневники;проспект Маршала Жукова;Щукинская;Континенталь
FS PROPERTY;https://www.cian.ru/sale/flat/286797519/;Москва;sale;flat;12;15;5;163.8;139900000;Донской;Вавилова;Ленинский проспект;Вавилова 4
ГОРОБМЕН;https://www.cian.ru/sale/flat/287819333/;Москва;sale;flat;23;23;5;250;139499999;Филевский парк;Кастанаевская;Филёвский парк;Изумруд
Premium Realty;https://www.cian.ru/sale/flat/285801032/;Москва;sale;flat;51;51;5;245;140000000;Раменки;Мичуринский проспект;Раменки;
Monumental Group;https://www.cian.ru/sale/flat/281598621/;Москва;sale;flat;3;7;5;206;141202600;Басманный;Подсосенский переулок;Курская;
Penny Lane Realty Жилая недвижимость;https://www.cian.ru/sale/flat/285047392/;Москва;sale;flat;27;78;5;220;142009472;Пресненский;набережная Пресненская;Выставочная;Город Столиц
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/280197253/;Москва;sale;flat;7;7;5;242;145000000;Пресненский;Никитский бульвар;Арбатская;
Monumental Group;https://www.cian.ru/sale/flat/280508166/;Москва;sale;flat;3;6;5;200;145000000;Басманный;переулок Огородная Слобода;Чистые пруды;
МИЭЛЬ;https://www.cian.ru/sale/flat/284310299/;Москва;sale;flat;14;15;5;370;145000000;Аэропорт;Ленинградский проспект;Аэропорт;Помидор
Premium Realty;https://www.cian.ru/sale/flat/275140718/;Москва;sale;flat;28;31;5;220.5;145000000;Тропарево-Никулино;проспект Вернадского;Тропарёво;Миракс Парк
Premium Realty;https://www.cian.ru/sale/flat/274997123/;Москва;sale;flat;28;31;5;220;145000000;Тропарево-Никулино;проспект Вернадского;Тропарёво;Миракс Парк
Penny Lane Realty Жилая недвижимость;https://www.cian.ru/sale/flat/284749664/;Москва;sale;flat;3;7;5;198.6;147000000;Басманный;переулок Огородная Слобода;Чистые пруды;
FS PROPERTY;https://www.cian.ru/sale/flat/279603080/;Москва;sale;flat;3;5;5;195.1;149000000;Басманный;переулок Огородная Слобода;Чистые пруды;
СЕДЬМОЕ НЕБО;https://www.cian.ru/sale/flat/278826727/;Москва;sale;flat;16;17;5;340;149000000;Алексеевский;Новоалексеевская;Алексеевская;EgoDom
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/273673331/;Москва;sale;flat;3;5;5;195;149000000;Басманный;переулок Огородная Слобода;Чистые пруды;
Vesco Realty;https://www.cian.ru/sale/flat/278927120/;Москва;sale;flat;15;43;5;216;149000000;Фили-Давыдково;Давыдковская;Славянский бульвар;Эдельвейс
Premium Realty;https://www.cian.ru/sale/flat/283345987/;Москва;sale;flat;30;37;5;223;149000000;Тропарево-Никулино;проспект Вернадского;Тропарёво;Миракс Парк
SKOLKOVO НЕДВИЖИМОСТЬ;https://www.cian.ru/sale/flat/282502472/;Москва;sale;flat;3;5;5;200;147990000;Басманный;переулок Огородная Слобода;Чистые пруды;
OXE CAPITAL - Элитная Недвижимость;https://www.cian.ru/sale/flat/282951864/;Москва;sale;flat;4;57;5;214;150000000;Хорошевский;Чапаевский переулок;Аэропорт;Триумф-Палас
Delight  Realty;https://www.cian.ru/sale/flat/278950939/;Москва;sale;flat;3;18;5;322.8;150000000;Марьина роща;Октябрьский переулок;Достоевская;
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/286817645/;Москва;sale;flat;3;18;5;334;150000000;Марьина роща;Октябрьский переулок;Достоевская;
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/255974919/;Москва;sale;flat;3;20;5;334;150000000;Марьина роща;Октябрьский переулок;Достоевская;
PEOPLE;https://www.cian.ru/sale/flat/286369815/;Москва;sale;flat;3;5;5;265;149500000;Тверской;Петровский бульвар;Трубная;
Gethome;https://www.cian.ru/sale/flat/283446366/;Москва;sale;flat;3;7;5;206.1;149666687;Басманный;Подсосенский переулок;Курская;Резиденция Чистые Пруды
Point Estate Город;https://www.cian.ru/sale/flat/283753046/;Москва;sale;flat;4;7;5;179.2;150000000;Замоскворечье;Пятницкая;Третьяковская;
Premium Realty;https://www.cian.ru/sale/flat/283064184/;Москва;sale;flat;3;7;5;206.1;149271320;Басманный;Подсосенский переулок;Курская;Резиденция Чистые Пруды
TimeProperty;https://www.cian.ru/sale/flat/154364799/;Москва;sale;flat;3;10;5;206.1;149666687;Басманный;Подсосенский переулок;Курская;Резиденция Чистые Пруды
Стоун Бридж эстейт;https://www.cian.ru/sale/flat/284930094/;Москва;sale;flat;4;7;5;232;150000000;Раменки;Минская;Минская;Золотые Ключи 1
ЛюксДом;https://www.cian.ru/sale/flat/269760111/;Москва;sale;flat;3;10;5;206;149594068;Басманный;Подсосенский переулок;Курская;Резиденция Чистые Пруды
Delight  Realty;https://www.cian.ru/sale/flat/275320238/;Москва;sale;flat;8;9;5;229;154000000;Якиманка;2-й Казачий переулок;Полянка;
Chase R.E.S.;https://www.cian.ru/sale/flat/266271427/;Москва;sale;flat;8;9;5;229;154000000;Якиманка;2-й Казачий переулок;Полянка;
Стоун Бридж эстейт;https://www.cian.ru/sale/flat/281633832/;Москва;sale;flat;8;9;5;229;154000000;Якиманка;2-й Казачий переулок;Полянка;
ZAVIDOV REALTY;https://www.cian.ru/sale/flat/283165174/;Москва;sale;flat;8;9;5;230;154000000;Якиманка;2-й Казачий переулок;Полянка;
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/287506211/;Москва;sale;flat;24;65;5;224.9;154245685;Пресненский;набережная Пресненская;Международная;Город Столиц
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/279754808/;Москва;sale;flat;24;76;5;224.9;154245685;Пресненский;набережная Пресненская;Международная;Город Столиц
Ashtons International Realty;https://www.cian.ru/sale/flat/284807164/;Москва;sale;flat;8;9;5;229;154000000;Якиманка;2-й Казачий переулок;Полянка;
Gethome;https://www.cian.ru/sale/flat/232010504/;Москва;sale;flat;8;9;5;229;154000000;Якиманка;2-й Казачий переулок;Полянка;
Point Estate Город;https://www.cian.ru/sale/flat/279461271/;Москва;sale;flat;8;9;5;229;154000000;Якиманка;2-й Казачий переулок;Полянка;
Penny Lane Realty Жилая недвижимость;https://www.cian.ru/sale/flat/285092694/;Москва;sale;flat;8;9;5;229;154000000;Якиманка;2-й Казачий переулок;Полянка;
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/279288088/;Москва;sale;flat;5;10;5;156.6;156000000;Тверской;Цветной бульвар;Цветной бульвар;
Apple Real Estate;https://www.cian.ru/sale/flat/280002498/;Москва;sale;flat;5;10;5;156;156000000;Тверской;Цветной бульвар;Цветной бульвар;
Penny Lane Realty Жилая недвижимость;https://www.cian.ru/sale/flat/284854101/;Москва;sale;flat;5;10;5;180;156000000;Тверской;Цветной бульвар;Цветной бульвар;
Penny Lane Realty Жилая недвижимость;https://www.cian.ru/sale/flat/285227844/;Москва;sale;flat;2;10;5;159;156700000;Басманный;Казарменный переулок;Чистые пруды;Дом на Покровском бульваре
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/275518585/;Москва;sale;flat;3;5;5;202;157500000;Покровское-Стрешнево;Береговая;Балтийская;
OXE CAPITAL - Элитная Недвижимость;https://www.cian.ru/sale/flat/256878500/;Москва;sale;flat;4;10;5;198.8;157500000;Тверской;Фадеева;Маяковская;Итальянский Квартал
Chase R.E.S.;https://www.cian.ru/sale/flat/275842668/;Москва;sale;flat;3;5;5;202;157500000;Покровское-Стрешнево;Береговая;Войковская;
Chase R.E.S.;https://www.cian.ru/sale/flat/270330033/;Москва;sale;flat;16;24;5;180;157900000;Беговой;Верхняя;Белорусская;Суббота
Premium Realty;https://www.cian.ru/sale/flat/285871927/;Москва;sale;flat;16;27;5;180;157899000;Беговой;Верхняя;Белорусская;Суббота
Century 21 Street Realty;https://www.cian.ru/sale/flat/268688644/;Москва;sale;flat;2;5;5;220;159000000;Хамовники;Гагаринский переулок;Кропоткинская;
Century 21 Premium Property;https://www.cian.ru/sale/flat/285102057/;Москва;sale;flat;16;24;5;180;160000000;Беговой;Верхняя;Белорусская;Суббота
Apple Real Estate;https://www.cian.ru/sale/flat/281459995/;Москва;sale;flat;16;24;5;180;160000000;Беговой;Верхняя;Белорусская;Суббота
BARNES International Realty;https://www.cian.ru/sale/flat/282495691/;Москва;sale;flat;1;5;5;168.4;161374400;Мещанский;переулок Печатников;Трубная;Печатников 12
Moscow Estate;https://www.cian.ru/sale/flat/278512159/;Москва;sale;flat;5;5;5;236;163334467;Красносельский;Сретенский бульвар;Сретенский бульвар;
СЕДЬМОЕ НЕБО;https://www.cian.ru/sale/flat/281039962/;Москва;sale;flat;9;10;5;346;165000000;Алексеевский;Новоалексеевская;Алексеевская;EgoDom
Prime Estate;https://www.cian.ru/sale/flat/283025769/;Москва;sale;flat;15;27;5;180.2;165000000;Беговой;Верхняя;Белорусская;Суббота
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/275050391/;Москва;sale;flat;3;6;5;264.6;165000000;Тверской;Петровский бульвар;Трубная;
ЛюксДом;https://www.cian.ru/sale/flat/274713688/;Москва;sale;flat;9;65;5;153.6;165000000;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
Кирилл Кормаков;https://www.cian.ru/sale/flat/286411016/;Москва;sale;flat;6;8;5;178.7;165000000;Раменки;Минская;Минская;Снегири Эко
Столичная Недвижимость;https://www.cian.ru/sale/flat/276491194/;Москва;sale;flat;3;22;5;217.9;168000000;Раменки;Минская;Ломоносовский проспект;Золотые Ключи 2
Gethome;https://www.cian.ru/sale/flat/286126727/;Москва;sale;flat;8;9;5;360;169443120;Очаково-Матвеевское;Староволынская;Давыдково;Волынский
