author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
494 УНР;https://www.cian.ru/sale/flat/284196201/;Москва;sale;flat;16;16;5;164.2;107879400;Сокольники;Матросская Тишина;Сокольники;Ренессанс
Intermark Real Estate - ранее Savills - городская недвижимость;https://www.cian.ru/sale/flat/275836899/;Москва;sale;flat;11;12;5;303;443779600;Хамовники;Трубецкая;Фрунзенская;Садовые кварталы
Capital Group;https://www.cian.ru/sale/flat/288213352/;Москва;sale;flat;8;67;5;151.63;133408000;Пресненский;Краснопресненская набережная;Выставочная;Capital Towers
Century 21 Street Realty;https://www.cian.ru/sale/flat/272953894/;Москва;sale;flat;4;33;5;190;74999000;Раменки;Мосфильмовская;Выставочная;Дом на Мосфильмовской
Level Group;https://www.cian.ru/sale/flat/284916916/;Москва;sale;flat;2;4;5;135.2;249430486;Хамовники;Саввинская набережная;Киевская;Саввинская 17 от Level
BELFORT;https://www.cian.ru/sale/flat/287477768/;Москва;sale;flat;28;33;5;297;325000000;Раменки;Мосфильмовская;Киевская;Дом на Мосфильмовской
Level Group;https://www.cian.ru/sale/flat/284916918/;Москва;sale;flat;3;4;5;133.9;262966216;Хамовники;Саввинская набережная;Киевская;Саввинская 17 от Level
MHEstate;https://www.cian.ru/sale/flat/284849825/;Москва;sale;flat;3;5;5;195;148999990;Басманный;переулок Огородная Слобода;Чистые пруды;
Level Group;https://www.cian.ru/sale/flat/284916280/;Москва;sale;flat;2;6;5;208.6;357622476;Хамовники;Саввинская набережная;Спортивная;Саввинская 27 от Level
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/284197571/;Москва;sale;flat;28;53;5;297.5;325000000;Раменки;Мосфильмовская;Парк Победы;Дом на Мосфильмовской
Level Group;https://www.cian.ru/sale/flat/286972381/;Москва;sale;flat;4;6;5;223.2;359557588;Хамовники;Саввинская набережная;Спортивная;Саввинская 27 от Level
Метриум-Премиум Городская недвижимость;https://www.cian.ru/sale/flat/278317225/;Москва;sale;flat;4;10;5;195.1;165500000;Хамовники;Еропкинский переулок;Парк Культуры;Еропкинский 16
