author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
ПИК;https://www.cian.ru/sale/flat/287883001/;Москва;sale;flat;6;33;1;20.1;5656782;Люблино;;Перерва;Люблинский парк ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/282961380/;Москва;sale;flat;8;10;1;17.5;5500000;Выхино-Жулебино;Рязанский проспект;Юго-Восточная;
ПИК;https://www.cian.ru/sale/flat/287883027/;Москва;sale;flat;17;17;1;20.1;5701564;Люблино;к14.1;Перерва;Люблинский парк ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/285506621/;Москва;sale;flat;8;10;1;15;5650000;Выхино-Жулебино;Рязанский проспект;Юго-Восточная;
ПИК;https://www.cian.ru/sale/flat/274322181/;Москва;sale;flat;11;19;1;20;5784902;Митино;Северо-Западный ао;Пятницкое шоссе;Митинский Лес ЖК
PORTAL ESTATE;https://www.cian.ru/sale/flat/284486295/;Москва;sale;flat;2;4;-1;43;8700000;Даниловский;Автозаводская;Автозаводская;Галерея ЗИЛ
ПИК;https://www.cian.ru/sale/flat/279627798/;Москва;sale;flat;19;25;1;23.2;5795643;Крюково;Зеленоград;Нахабино;Зеленый Парк ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/281750313/;Москва;sale;flat;4;5;1;23.5;7925375;Хорошевский;Хорошевское шоссе;Беговая;
ПИК;https://www.cian.ru/sale/flat/288241482/;Москва;sale;flat;3;33;1;20.2;5803574;Алтуфьевский;;Отрадное;Алтуфьевское 53 ЖК
ИМПЕРИАЛ;https://www.cian.ru/sale/flat/288058580/;Москва;sale;flat;8;10;1;16.8;5808000;Выхино-Жулебино;Рязанский проспект;Выхино;
ПИК;https://www.cian.ru/sale/flat/285823244/;Москва;sale;flat;10;20;1;20.1;5873135;Чертаново Южное;;Красный Строитель;Ютаново ЖК
NF Group - ex-Knight Frank Russia;https://www.cian.ru/sale/flat/281944814/;Москва;sale;flat;5;7;-1;75;73828788;Хамовники;Комсомольский проспект;Спортивная;Clerkenwell House
ПИК;https://www.cian.ru/sale/flat/286097283/;Москва;sale;flat;28;33;1;19.9;5949953;Очаково-Матвеевское;к1.2;Давыдково;Новое Очаково ЖК
PANDA ESTATE;https://www.cian.ru/sale/flat/287405194/;Москва;sale;flat;10;28;-1;30;14400000;Филевский парк;Василисы Кожиной;Парк Победы;Квартал апартаментов Match Point
ПИК;https://www.cian.ru/sale/flat/279533870/;Москва;sale;flat;17;17;1;19.9;5985110;;;Бунинская аллея;
Bespoke Estate;https://www.cian.ru/sale/flat/280409380/;Москва;sale;flat;24;30;1;29.4;14990000;Тимирязевский;Дмитровский проезд;Дмитровская;D1
ПИК;https://www.cian.ru/sale/flat/287118109/;Москва;sale;flat;2;33;1;19.9;5985735;Метрогородок;к1/4;Бульвар Рокоссовского;Открытый Парк ЖК
Homeapp;https://www.cian.ru/sale/flat/287307143/;Москва;sale;flat;5;7;1;30;6300000;Лефортово;Золоторожский Вал;Авиамоторная;
ПИК;https://www.cian.ru/sale/flat/281939426/;Москва;sale;flat;7;33;1;19.89;5970323;Чертаново Южное;;Красный Строитель;Ютаново ЖК
