author;link;city;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;underground;residential_complex
КРОСТ;https://www.cian.ru/sale/flat/277811342/;Москва;sale;flat;13;22;1;26.3;7153600;;;Прокшино;Новая Звезда ЖК
ID 13345006;https://www.cian.ru/sale/flat/288226606/;Москва;sale;flat;9;12;1;30.0;7200000;;;Филатов Луг;
;https://www.cian.ru/sale/flat/277241812/;Москва;sale;flat;4;7;1;45.92;7209440;;;Рассказовка;
ID 270688;https://www.cian.ru/sale/flat/286353359/;Москва;sale;flat;1;9;1;32.7;7200000;Ивановское;Сталеваров;Новогиреево;
Владис;https://www.cian.ru/sale/flat/287830736/;Москва;sale;flat;4;13;1;33.1;7300000;;;Силикатная;
ПИК;https://www.cian.ru/sale/flat/271954969/;Москва;sale;flat;24;25;1;33.8;7349091;Крюково;Зеленоград;Пятницкое шоссе;Зелёный парк
ПИК;https://www.cian.ru/sale/flat/276123993/;Москва;sale;flat;14;25;1;33.6;7322735;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
ПИК;https://www.cian.ru/sale/flat/277827661/;Москва;sale;flat;17;25;1;31.7;7336622;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
Pokaz360;https://www.cian.ru/sale/flat/287807450/;Москва;sale;flat;3;17;1;35.1;7300000;Некрасовка;Маресьева;Некрасовка;
МИЦ-Столичный ипотечный центр недвижимости;https://www.cian.ru/sale/flat/286470860/;Москва;sale;flat;2;16;1;34.5;7350000;Крюково;1 Мая;Комсомольская;
ПИК;https://www.cian.ru/sale/flat/270784429/;Москва;sale;flat;13;25;1;31.7;7439592;Крюково;Зеленоград;Пятницкое шоссе;Зеленый Парк ЖК
Агентство недвижимости Авеню-Москва;https://www.cian.ru/sale/flat/287288912/;Москва;sale;flat;1;5;1;30.4;7490000;Текстильщики;Волгоградский проспект;Текстильщики;
Самолет Плюс Москва;https://www.cian.ru/sale/flat/286730253/;Москва;sale;flat;1;12;1;35.0;7150000;Бирюлево Восточное;Михневская;Царицыно;
РОСТ-РИЕЛТ на Таганской;https://www.cian.ru/sale/flat/287923140/;Москва;sale;flat;8;9;1;33.0;6990000;Бирюлево Западное;Востряковский проезд;Пражская;
Alliance Agency Real Estate;https://www.cian.ru/sale/flat/286924843/;Москва;sale;flat;3;9;1;33.0;7600000;Бирюлево Западное;Востряковский проезд;Покровское;
ID 61687209;https://www.cian.ru/sale/flat/283285561/;Москва;sale;flat;7;9;1;32.1;7350000;Бирюлево Западное;Медынская;Покровское;
Октябрьская;https://www.cian.ru/sale/flat/288136610/;Москва;sale;flat;10;16;1;34.7;7000000;Бирюлево Западное;Булатниковская;Битца;
МИЭЛЬ;https://www.cian.ru/sale/flat/287037377/;Москва;sale;flat;4;9;1;32.8;6800000;Матушкино;Зеленоград;Ховрино;
Владис;https://www.cian.ru/sale/flat/286953813/;Москва;sale;flat;11;12;1;30.0;5480000;;;Филатов Луг;
